Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"battery","Header, 2-Pin","BAT","HDR1X2","Header 2","2","1"
"1uF 50V","贴片电容","C1, C3, C6, C8, C10, C19, C20","0402_C","0603 10nF (103) 10% 50V","2","7"
"100nF 50V","贴片电容","C2, C4, C7, C9, C11, C24","0402_C","0603 10nF (103) 10% 50V","2","6"
"1.5nF","贴片电容","C5","0402_C","0603 10nF (103) 10% 50V","2","1"
"1nF (102) 10% 50V","贴片电容","C12, C13, C14, C15, C16, C17, C18, C21","0402_C","0402 1nF (102) 10% 50V","2","8"
"100uF (107) ±10% 6.3V","钽电容","C22","CASE-B_3528","3528 100uF (107) 10% 6.3V","2","1"
"10uF","贴片电容","C23, C29, C36, C37","0402_C","0603 10uF (106) 10% 10V, 0402 10uF (106) 20% 6.3V","2","4"
"10uF (106) 10% 10V","贴片电容","C25","0402_C","0603 10uF (106) 10% 10V","2","1"
"100nF (104) 10% 50V","贴片电容","C26","0402_C","0603 100nF (104) 10% 50V","2","1"
"100nF","贴片电容","C27, C28, C35, C38","0402_C","0603 100nF (104) 10% 50V, 0402 100nF (104) 10% 16V","2","4"
"22pF","贴片电容","C30, C31, C52, C53","0402_C","0603 22pF (220) 5% 50V","2","4"
"1uF","贴片电容","C32, C33, C39, C40, C42, C43, C45, C47","0402_C","0603 1uF (105) 10% 50V","2","8"
"1nF","贴片电容","C34, C41, C49","0402_C","0603 1nF (102) 10% 50V","2","3"
"10nF","贴片电容","C44, C46, C48","0402_C","0603 10nF (103) 10% 50V","2","3"
"10pF","贴片电容","C50, C51","0402_C","0603 10pF (100) 5% 50V","2","2"
"10uF  10V","贴片电容","C54, C58","0402_C","0603 10uF (106) 10% 10V","2","2"
"100nF  50V","贴片电容","C55, C56, C59, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72","0402_C","0603 100nF (104) 10% 50V","2","15"
"2.2uF 16V","贴片电容","C57","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"2.2uF (225) 10% 16V","贴片电容","C60","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"SS210","二极管","D1, D2, D7","SMA(DO-214AC)_S1","SMA(DO-214AC) SS210","2","3"
"红灯 0603","发光二极管","D3, D11","0603_LED_S1","0603 红灯","2","2"
