Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"1uF 50V","贴片电容","C1, C3, C5, C9, C11, C13, C27, C28","0603_C","0603 10nF (103) 10% 50V","2","8"
"100nF 50V","贴片电容","C2, C4, C7, C10, C12, C14, C35","0603_C","0603 10nF (103) 10% 50V","2","7"
"4.7nF 50V","贴片电容","C6, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C29, C30, C32, C33","0603_C","0603 4.7nF (472) 10% 50V","2","17"
"1.5nF","贴片电容","C8","0603_C","0603 10nF (103) 10% 50V","2","1"
"100uF (107) ±10% 6.3V","钽电容","C31","CASE-B_3528","3528 100uF (107) 10% 6.3V","2","1"
"10uF","贴片电容","C34","0603_C","0603 10uF (106) 10% 10V","2","1"
"10uF (106) 10% 10V","贴片电容","C36","0603_C","0603 10uF (106) 10% 10V","2","1"
"100nF (104) 10% 50V","贴片电容","C37, C38","0603_C","0603 100nF (104) 10% 50V","2","2"
"1uF","贴片电容","C39, C40, C42, C43, C45, C46, C48, C50","0603_C","0603 1uF (105) 10% 50V","2","8"
"1nF","贴片电容","C41, C44, C52","0603_C","0603 1nF (102) 10% 50V","2","3"
"10nF","贴片电容","C47, C49, C51","0603_C","0603 10nF (103) 10% 50V","2","3"
"10uF  10V","贴片电容","C53","0603_C","0603 10uF (106) 10% 10V","2","1"
"100nF  50V","贴片电容","C54, C63","0603_C","0603 100nF (104) 10% 50V","2","2"
"100nF","贴片电容","C55, C56, C57, C58","0603_C","0603 100nF (104) 10% 50V","2","4"
"22pF","贴片电容","C59, C60, C61, C62","0603_C","0603 22pF (220) 5% 50V, 0603 10pF (100) 5% 50V","2","4"
"1N4148WS T4","二极管","D1","SOD-323","SOD-323 1N4148WS T4","2","1"
"MMSZ4685T1G(3.6V)","肖特基二极管","D2","SOD-123","SOD-123 B5819W  SL","2","1"
"MMSZ4683T1G(3V)","肖特基二极管","D3, D5","SOD-123","SOD-123 B5819W  SL","2","2"
"B5819W  SL","肖特基二极管","D4","SOD-123","SOD-123 B5819W  SL","2","1"
"绿灯 0603","发光二极管","D6, D7","0603_LED_S1","0603 绿灯","2","2"
"红灯 0805","发光二极管","D8","0805_LED_S1","0805 红灯","2","1"
"Fuse 1A","Fuse","F1","0805_R","Fuse 2","2","1"
"Header 6X2","Header, 6-Pin, Dual row","P1","HDR2X6","Header 6X2","12","1"
"Header 10X2","Header, 10-Pin, Dual row","P2","HDR2X10","Header 10X2","20","1"
"USB","Header, 5-Pin","P3, P8","MICRO-USB","Header 5","7","2"
"Header 2","Header, 2-Pin","P4","HDR1X2","Header 2","2","1"
"Header 5X2","Header, 5-Pin, Dual row","P5, P9","HDR2X5","Header 5X2","10","2"
"SWD","Header, 4-Pin","P6","HDR1X4","Header 4","4","1"
"Header 3X2","Header, 3-Pin, Dual row","P7","HDR2X3","Header 3X2","6","1"
"HC-05_CON","Header, 6-Pin","P10","HDR1X6","Header 6","6","1"
"SS8050 Y1","三极管","Q1","SOT-23(SOT-23-3)","SOT-23 SS8050 Y1","3","1"
"SS8550 Y2","三极管","Q2","SOT-23(SOT-23-3)","SOT-23 SS8550 Y2","3","1"
"0Ω","贴片电阻","R1","0603_R","0603 100KΩ (1003) 1%","2","1"
"4.99KΩ (4991) ±1%","贴片电阻","R2","0603_R","0603 4.99KΩ (4991) 1%","2","1"
"1MΩ","贴片电阻","R3, R32","0603_R","0603 100KΩ (1003) 1%, 0603 1.2MΩ (1204) 1%","2","2"
"10KΩ","贴片电阻","R4, R26, R35, R37","0603_R","0603 10KΩ (1002) 1%, 0603 1KΩ (1001) 1%","2","4"
"100KΩ","贴片电阻","R5","0603_R","0603 100KΩ (1003) 1%","2","1"
