Altium Designer Pick and Place Locations
D:\OneDrive\脑电采集系统设计\EEG\PCB\脑电采集主板_PRJ\Project Outputs for EEG\Pick Place for EEG_V3.0.csv

========================================================================================================================
File Design Information:

Date:       19/08/20
Time:       13:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"R4","0402_R","485.000","985.000","484.999","985.000","468.267","985.000","TopLayer","0","100KΩ"
"C38","0402_C","1881.732","2105.078","1881.732","2105.079","1865.000","2105.078","TopLayer","360","100nF"
"D2","SMA(DO-214AC)_S1","1698.701","1915.000","1698.701","1915.000","1616.024","1915.000","TopLayer","180","SS210"
"R13","0402_R","485.000","908.486","485.000","908.486","501.733","908.486","TopLayer","180","2.2KΩ (2201) ±1%"
"R12","0402_R","397.323","843.486","397.323","843.486","380.590","843.486","TopLayer","360","2.2KΩ (2201) ±1%"
"R11","0402_R","397.323","778.486","397.323","778.486","380.590","778.486","TopLayer","360","2.2KΩ (2201) ±1%"
"R10","0402_R","397.323","713.486","397.323","713.486","380.590","713.486","TopLayer","360","2.2KΩ (2201) ±1%"
"R9","0402_R","397.323","648.486","397.323","648.486","380.590","648.486","TopLayer","0","2.2KΩ (2201) ±1%"
"R8","0402_R","397.323","583.486","397.323","583.486","380.590","583.486","TopLayer","0","2.2KΩ (2201) ±1%"
"R7","0402_R","397.323","518.486","397.323","518.486","380.590","518.486","TopLayer","0","2.2KΩ (2201) ±1%"
"R6","0402_R","397.323","453.486","397.323","453.486","380.590","453.486","TopLayer","0","2.2KΩ (2201) ±1%"
"R5","0402_R","397.323","388.486","397.323","388.486","380.590","388.486","TopLayer","0","2.2KΩ (2201) ±1%"
"C21","0402_C","485.000","843.485","485.000","843.485","468.268","843.485","TopLayer","360","1nF (102) 10% 50V"
"C18","0402_C","485.000","778.485","485.000","778.485","468.268","778.485","TopLayer","360","1nF (102) 10% 50V"
"C17","0402_C","485.000","713.486","485.000","713.485","468.268","713.486","TopLayer","360","1nF (102) 10% 50V"
"C16","0402_C","485.000","648.486","485.000","648.485","468.268","648.486","TopLayer","360","1nF (102) 10% 50V"
"C15","0402_C","485.000","583.485","485.000","583.486","468.268","583.485","TopLayer","360","1nF (102) 10% 50V"
"C14","0402_C","485.000","518.486","485.000","518.486","468.268","518.486","TopLayer","360","1nF (102) 10% 50V"
"C13","0402_C","485.000","453.486","485.000","453.486","468.268","453.486","TopLayer","360","1nF (102) 10% 50V"
"C12","0402_C","485.000","388.486","485.000","388.486","468.268","388.486","TopLayer","360","1nF (102) 10% 50V"
"Y3","SMD-5032_2P","1725.000","186.850","1725.000","186.850","1644.292","186.850","TopLayer","360","8MHz"
"Y2","SMD-3215_2P_FC_-_135","1446.496","311.732","1446.496","311.732","1397.284","311.732","TopLayer","0","32.768KHz"
"Y1","SMD-3225_4P","2173.307","1411.496","2173.307","1411.496","2130.000","1380.000","TopLayer","0","12MHZ"
"U12","LQFP-144_20x20x05P","1880.709","846.850","1880.709","846.850","1536.220","431.496","TopLayer","0","STM32F429ZGT6"
"U11","nRF52832","516.378","2130.000","480.000","2145.000","290.000","2330.000","TopLayer","180","nRF52832"
"U10","SOT-23-5","840.000","1330.000","840.000","1330.000","784.882","1367.402","TopLayer","180","TPS72325"
"U9","SOT-23-5","485.118","1340.000","485.118","1340.000","430.000","1377.402","TopLayer","180","TPS60403"
"U8","SOT-23-5","840.118","1545.000","840.118","1545.000","785.000","1582.402","TopLayer","180","TPS73225"
"U7","SOP-8_EP_150mil","2090.000","2095.000","2090.000","2095.000","2192.362","2020.000","TopLayer","90","TP4056"
"U6","SC-70-5","414.827","1542.008","371.519","1567.599","371.520","1567.598","TopLayer","360","TPS71733DCKR"
"U5","SOIC-16_150mil","2065.000","1645.552","2065.000","1645.552","1890.000","1543.190","TopLayer","360","CH340G"
"U4","TPD4","282.030","833.942","325.337","859.533","325.337","859.532","BottomLayer","180","TPD4E1B06DCKR"
"U3","TPD4","282.030","625.365","325.337","650.956","325.337","650.956","BottomLayer","180","TPD4E1B06DCKR"
"U2","TPD4","282.030","435.001","325.337","460.591","325.337","460.592","BottomLayer","180","TPD4E1B06DCKR"
