Altium Designer Pick and Place Locations
D:\OneDrive\脑电采集系统设计\EEG\PCB\脑电采集主板_PRJ\Project Outputs for EEG\Pick Place for EEG_new.csv

========================================================================================================================
File Design Information:

Date:       02/06/20
Time:       12:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"R35","0603_R","2576.738","1940.000","2576.739","1940.000","2607.053","1940.000","TopLayer","180","10KΩ"
"R30","0603_R","3100.000","1194.040","3100.000","1194.040","3100.000","1163.725","TopLayer","90","10Ω (10R0) ±1%"
"S1","KEY_5.8*5.8","2890.464","2988.583","2811.724","3077.165","2811.724","3077.165","TopLayer","270","SW-PB"
"U6","SOP6","358.307","2185.000","315.000","2210.591","315.000","2210.591","TopLayer","0","TPD4E1B06DCKR"
"U5","SOP6","361.693","1961.918","318.386","1987.508","318.386","1987.508","TopLayer","0","TPD4E1B06DCKR"
"U4","SOP6","361.693","1755.000","318.386","1780.591","318.386","1780.591","TopLayer","0","TPD4E1B06DCKR"
"U3","SOP6","361.693","1560.000","318.386","1585.591","318.386","1585.591","TopLayer","0","TPD4E1B06DCKR"
"U2","SOP6","361.693","1354.961","318.386","1380.551","318.386","1380.551","TopLayer","0","TPD4E1B06DCKR"
"Y2","SMD-3215_2P_FC_-_135","2494.606","1195.000","2494.606","1195.000","2543.819","1195.000","TopLayer","180","32.768KHz"
"Y1","SMD-5032_2P","3010.000","1026.953","3010.000","1026.953","3090.709","1026.953","TopLayer","180","8MHz ±20ppm 20pF"
"U14","nRF52832","1896.378","2915.000","1860.000","2930.000","1670.000","3115.000","TopLayer","180","nRF52832"
"U13","CC2640R2F","1349.961","443.898","1275.000","1302.795","1784.606","787.795","TopLayer","90","CC2640R2F"
"U12","LQFP-64_10x10x05P","2860.937","1572.394","2860.937","1572.394","2713.299","1353.890","TopLayer","0","STM32F103RCT6"
"U11","SOT-23-5","2955.000","431.220","2955.000","431.220","3010.118","393.819","TopLayer","360","TPS72325"
"U10","SOT-23-5","3380.000","436.220","3380.000","436.220","3435.118","398.819","TopLayer","0","TPS60403"
"U9","SOT-23-5","3380.000","694.291","3380.000","694.291","3435.118","656.890","TopLayer","0","TPS73225"
"U8","SOT-23-5","3750.804","1530.000","3750.804","1530.000","3788.206","1585.118","TopLayer","90","TPS71733DCKR"
"U7","SOIC-16_150mil","3264.370","2139.685","3264.370","2139.685","3089.370","2037.323","TopLayer","360","CH340G"
"U1","ADS1299","1329.842","1753.780","1023.622","2001.417","1093.622","1901.417","TopLayer","0","ADS1299"
"S2","key_4.5*4.5*3.8","3815.945","498.110","3875.000","616.221","3875.000","616.221","TopLayer","270","SW-PB"
"R40","0603_R","3539.055","2734.685","3539.055","2734.685","3569.370","2734.685","TopLayer","180","1.5KΩ"
"R39","0603_R","3539.055","2657.185","3539.055","2657.185","3569.370","2657.185","TopLayer","180","10Ω"
