Altium Designer Pick and Place Locations
D:\OneDrive\脑电采集系统设计\EEG\PCB\脑电采集主板_PRJ\Project Outputs for EEG\Pick Place for eeg_f407.csv

========================================================================================================================
File Design Information:

Date:       01/07/20
Time:       14:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"P10","pin1.5mm","115.000","1182.126","115.000","296.299","115.000","296.299","TopLayer","0","1.5mm"
"Y2","SMD-5032_2P","2960.000","248.678","2960.000","248.677","2879.291","248.678","TopLayer","360","8MHz"
"Y1","SMD-3215_2P_FC_-_135","2565.080","390.000","2565.080","390.000","2515.867","390.000","TopLayer","0","32.768KHz"
"U12","LQFP-144_20x20x05P","2860.356","990.891","2860.356","990.891","2515.867","575.537","TopLayer","0","STM32F429ZGT6"
"U11","nRF52832","2736.378","2915.000","2700.000","2930.000","2510.000","3115.000","TopLayer","180","nRF52832"
"U10","CC2640R2F","631.102","2669.961","-227.795","2595.000","287.205","3104.606","TopLayer","180","CC2640R2F"
"U9","SOT-23-5","1982.835","2452.598","1982.835","2452.598","2037.954","2415.197","TopLayer","0","TPS72325"
"U8","SOT-23-5","2282.836","2452.598","2282.835","2452.598","2337.954","2415.197","TopLayer","0","TPS60403"
"U7","SOT-23-5","1380.000","2452.599","1380.000","2452.599","1435.118","2415.197","TopLayer","0","TPS73225"
"U6","SC-70-5","3291.693","2655.000","3335.000","2629.409","3335.000","2629.409","TopLayer","180","TPS71733DCKR"
"U5","SOIC-16_150mil","3370.315","1825.000","3370.315","1825.000","3195.315","1722.638","TopLayer","360","CH340G"
"U4","TPD4","463.307","1411.049","420.000","1436.639","420.000","1436.639","TopLayer","0","TPD4E1B06DCKR"
"U3","TPD4","461.693","1063.549","418.386","1089.139","418.386","1089.139","TopLayer","0","TPD4E1B06DCKR"
"U2","TPD4","466.693","716.048","423.386","741.639","423.386","741.639","TopLayer","0","TPD4E1B06DCKR"
"U1","ADS1299","1281.220","869.842","975.000","1117.480","1045.000","1017.480","TopLayer","0","ADS1299"
"S2","key_4.5*4.5*3.8","3506.890","154.055","3625.000","95.000","3625.000","95.000","TopLayer","180","SW-PB"
"S1","KEY_5.8*5.8","3580.000","2978.583","3501.260","3067.165","3501.260","3067.165","TopLayer","270","SW-PB"
"R32","0603_R","3464.331","813.677","3464.331","813.677","3464.331","843.992","TopLayer","270","10K"
"R31","0603_R","2255.000","820.000","2255.000","820.000","2224.685","820.000","TopLayer","360","10K"
"R30","0603_R","3645.000","879.685","3645.000","879.685","3645.000","910.000","TopLayer","270","10Ω (10R0) ±1%"
"R29","0603_R","3435.000","423.677","3435.000","423.677","3435.000","393.362","TopLayer","90","10Ω"
"R28","0603_R","3809.685","485.000","3809.685","485.000","3779.370","485.000","TopLayer","360","10K"
"R27","0603_R","2965.000","125.000","2965.000","125.000","2934.685","125.000","TopLayer","360","1MΩ"
"R26","0603_R","3825.469","1299.079","3825.470","1299.079","3855.784","1299.079","TopLayer","180","1KΩ"
"R25","0603_R","3825.469","1091.890","3825.470","1091.890","3855.784","1091.890","TopLayer","180","510Ω"
"R24","0603_R","3825.469","1195.484","3825.470","1195.484","3855.784","1195.484","TopLayer","180","510Ω"
"R23","0603_R","2255.000","720.000","2255.000","720.000","2224.685","720.000","TopLayer","360","0Ω"
"R22","0603_R","3520.000","2331.779","3520.000","2331.779","3550.315","2331.779","TopLayer","180","10Ω"
"R21","0603_R","3520.000","2251.779","3520.000","2251.779","3550.315","2251.779","TopLayer","180","10Ω"
"R20","0603_R","2600.000","2095.000","2600.000","2095.000","2630.315","2095.000","TopLayer","180","1KΩ (1001) ±1%"
"R19","0603_R","3160.000","2220.000","3160.000","2220.000","3129.685","2220.000","TopLayer","360","1KΩ (1001) ±1%"
"R18","0603_R","3320.000","2095.000","3320.000","2095.000","3350.315","2095.000","TopLayer","180","1KΩ (1001) ±1%"
"R17","0603_R","2985.000","2095.000","2985.000","2095.000","2954.685","2095.000","TopLayer","0","10KΩ"
"R16","0603_R","654.685","1316.049","654.685","1316.049","624.370","1316.049","TopLayer","0","4.99KΩ"
"R15","0603_R","654.685","1219.159","654.685","1219.159","624.370","1219.159","TopLayer","0","4.99KΩ"
"R14","0603_R","654.685","1122.269","654.685","1122.269","624.370","1122.269","TopLayer","0","4.99KΩ"
"R13","0603_R","654.685","1025.379","654.685","1025.379","624.370","1025.379","TopLayer","0","4.99KΩ"
"R12","0603_R","1765.000","740.000","1765.000","740.000","1734.685","740.000","TopLayer","0","0Ω"
"R11","0603_R","654.685","928.489","654.685","928.489","624.370","928.489","TopLayer","0","4.99KΩ"
"R10","0603_R","1765.000","861.667","1765.000","861.667","1734.685","861.667","TopLayer","0","0Ω"
"R9","0603_R","1765.000","983.333","1765.000","983.333","1734.685","983.333","TopLayer","0","0Ω"
"R8","0603_R","654.685","831.600","654.685","831.600","624.370","831.600","TopLayer","0","4.99KΩ"
"R7","0603_R","654.685","734.710","654.685","734.710","624.370","734.710","TopLayer","0","4.99KΩ"
"R6","0603_R","654.685","637.820","654.685","637.820","624.370","637.820","TopLayer","0","4.99KΩ"
"R5","0603_R","654.685","540.930","654.685","540.930","624.370","540.930","TopLayer","0","4.99KΩ"
"R4","0603_R","1000.694","1495.000","1000.694","1495.000","970.379","1495.000","TopLayer","360","100KΩ"
"R3","0603_R","1590.984","1497.660","1590.984","1497.660","1621.299","1497.660","TopLayer","180","10KΩ"
"R2","0603_R","1000.694","1325.000","1000.694","1325.000","970.379","1325.000","TopLayer","360","1MΩ"
"R1","0603_R","1765.000","1105.000","1765.000","1105.000","1734.685","1105.000","TopLayer","0","0Ω"
"Q2","SOT-23(SOT-23-3)","2790.000","2095.000","2790.000","2095.000","2839.213","2057.599","TopLayer","0","SS8550 Y2"
"Q1","SOT-23(SOT-23-3)","3150.315","2095.000","3150.315","2095.000","3199.528","2057.599","TopLayer","360","SS8050 Y1"
"SWD","HDR1X4","2020.000","3070.000","2170.000","3070.000","2170.000","3070.000","TopLayer","180","SWD"
"HC05","HDR1X6","1415.000","3070.000","1165.000","3070.000","1165.000","3070.000","TopLayer","360","HC-05_CON"
"P7","HDR2X5","2015.000","1620.000","2065.000","1420.000","2065.000","1420.000","TopLayer","90","Header 5X2"
"P6","HDR2X6","2035.000","130.000","2285.000","180.000","2285.000","180.000","TopLayer","180","Header 6X2"
"P5","MICRO-USB","3767.835","2304.220","3800.315","2304.220","3713.700","2253.038","TopLayer","90","USB"
"P4","HDR1X2","3875.000","2805.000","3875.000","2755.000","3875.000","2755.000","TopLayer","90","Header 2"
"P3","MICRO-USB","3767.835","1830.000","3800.315","1830.000","3713.700","1778.818","TopLayer","90","USB"
"P2","HDR2X6","2015.000","840.000","1965.000","1090.000","1965.000","1090.000","TopLayer","270","Header 6X2"
"P1","HDR1X10","300.000","1085.000","300.000","635.000","300.000","635.000","TopLayer","90","Header 10"
