Designator,Footprint,Center-X(mil),Center-Y(mil),Ref-X(mil),Ref-Y(mil),Pad-X(mil),Pad-Y(mil),Layer,Rotation,Comment
C96,0603_C,3205,660,3205,660,3205,690.315,TopLayer,270,100nF 50V
C95,0603_C,3300,660,3300,660,3300,690.315,TopLayer,270,22uF
C94,0603_C,3855,660,3855,660,3855,690.315,TopLayer,270,100nF 50V
C93,0603_C,3765,660,3765,660,3765,690.315,TopLayer,270,22uF
C92,0603_C,1410.955,775.63,1410.955,775.63,1410.955,805.945,TopLayer,270,10nF (103) 10% 50V
C89,0603_C,1226.434,777.014,1226.434,777.014,1226.434,807.329,TopLayer,270,2.2uF (225) 10% 16V
C77,0603_C,1410.955,390.175,1410.955,390.175,1410.955,359.86,TopLayer,90,2.2uF (225) 10% 16V
C76,0603_C,1325.945,390,1325.945,390,1325.945,359.685,TopLayer,90,1uF (105) 10% 50V
C75,0603_C,1040.945,585.748,1040.945,585.748,1040.945,555.433,TopLayer,90,1uF (105) 10% 50V
C73,0603_C,1495.965,585.748,1495.965,585.748,1495.965,555.433,TopLayer,90,1uF (105) 10% 50V
C71,0603_C,1040.945,390,1040.945,390,1040.945,420.315,TopLayer,270,1uF (105) 10% 50V
C65,0603_C,1327.187,585.775,1327.187,585.775,1327.187,555.46,TopLayer,90,1uF (105) 10% 50V
C34,0603_C,1125.315,1031.561,1125.315,1031.561,1125.315,1001.246,TopLayer,90,10uF (106) 10% 10V
C37,0603_C,1050.315,1031.561,1050.315,1031.561,1050.315,1061.876,TopLayer,270,100nF 50V
Y2,SMD-5032_2P,2534.291,888.766,2534.291,888.766,2453.583,888.766,TopLayer,360,8MHz ㊣20ppm 20pF
Y1,SMD-5032_2P,2015.709,888.766,2015.709,888.766,2096.418,888.766,TopLayer,180,32.768KHz
VR2,SOT-223,3530,885,3530,885,3648.11,794.449,TopLayer,0,AMS1117-3.3
VR1,SOT-223,3530,400,3530,400,3648.11,309.449,TopLayer,0,AMS1117-3.3
U9,SOT-23-5,3525,656.378,3525,656.378,3580.118,618.976,TopLayer,0,SPX5205
