Altium Designer Pick and Place Locations
D:\OneDrive\脑电采集系统设计\EEG\PCB\脑电采集主板_PRJ\Project Outputs for 脑电采集板\Pick Place for 脑电采集板V5.0.csv

========================================================================================================================
File Design Information:

Date:       15/09/20
Time:       10:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"P2","HDR2X7","1580.000","698.150","1530.000","998.150","1530.000","998.150","TopLayer","270","Header 7X2"
"U6","TF_1","2736.535","882.244","2520.000","784.803","2520.000","784.803","BottomLayer","90","TF_Card"
"Y2","SMD-5032_2P","2402.520","200.000","2402.520","200.000","2321.811","200.000","TopLayer","360","8MHz"
"Y1","SMD-3215_2P_FC_-_135","2055.000","330.000","2055.000","330.000","2005.787","330.000","TopLayer","0","32.768KHz"
"U14","LQFP-144_20x20x05P","2370.000","890.000","2370.000","890.000","2025.512","474.646","TopLayer","0","STM32F429ZGT6"
"U13","SOT-23-5","685.000","1680.000","685.000","1680.000","740.118","1642.599","TopLayer","0","TPS72325"
"U12","SOT-23-5","1045.000","1680.000","1045.000","1680.000","1100.118","1642.599","TopLayer","0","TPS60403"
"U11","SOT-23-5","685.787","1870.000","685.787","1870.000","740.905","1832.599","TopLayer","0","TPS73225"
"U10","SC-70-5","684.094","2030.465","727.402","2056.055","727.402","2056.055","TopLayer","180","TPS71733DCKR"
"U9","SOP-8_EP_150mil","2362.677","2125.000","2362.677","2125.000","2465.039","2050.000","TopLayer","90","TP4056"
"U8","QFN-24_4x4x05P","1574.803","1377.953","1574.803","1377.953","1525.591","1299.213","TopLayer","0","MPU-6050"
"U7","SSOP-28_208mil","2118.071","1778.923","2118.071","1778.923","1951.732","1643.096","TopLayer","0","FT232RL-REEL"
"U5","nRF52832","511.378","2530.000","475.000","2545.000","285.000","2730.000","TopLayer","180","nRF52832"
"U4","TPD4","273.307","993.150","316.614","1018.740","316.614","1018.740","BottomLayer","180","TPD4E1B06DCKR"
"U3","TPD4","273.307","794.075","316.614","819.665","316.614","819.665","BottomLayer","180","TPD4E1B06DCKR"
"U2","TPD4","273.307","595.000","316.614","620.591","316.614","620.591","BottomLayer","180","TPD4E1B06DCKR"
"U1","LQFP-64_10x10x05P","875.000","705.000","875.000","705.000","656.496","852.638","TopLayer","270","ADS1299"
"S1","KEY_5.8*5.8","2040.000","2621.417","2118.740","2532.835","2118.740","2532.835","TopLayer","90","SW-PB"
"RESET","KEY_3.6*2.5","2940.000","1550.000","2940.000","1550.000","3088.996","1550.000","TopLayer","180","SW-PB"
"R45","0402_R","2933.268","752.047","2933.268","752.047","2950.000","752.047","TopLayer","180","10K"
"R44","0402_R","2655.000","1454.960","2655.000","1454.961","2655.000","1471.693","TopLayer","270","10K"
"R43","0402_R","1791.079","675.472","1791.079","675.472","1774.347","675.472","TopLayer","360","10K"
"R42","0402_R","2605.000","1455.000","2605.000","1455.000","2605.000","1471.732","TopLayer","270","10K"
"R41","0402_R","2775.354","176.732","2775.354","176.732","2775.354","193.465","TopLayer","270","10Ω (10R0) ±1%"
"R40","0402_R","2775.354","321.142","2775.354","321.142","2775.354","304.409","TopLayer","90","10Ω"
"R39","0402_R","2970.000","465.000","2970.000","465.000","2970.000","448.268","TopLayer","90","10K"
"R38","0402_R","2398.268","100.000","2398.268","100.000","2381.535","100.000","TopLayer","360","1MΩ"
"R37","0402_R","3084.528","1123.347","3084.528","1123.346","3084.528","1106.614","TopLayer","90","1KΩ"
"R36","0402_R","3084.528","695.079","3084.528","695.079","3084.528","678.347","TopLayer","90","510Ω"
"R35","0402_R","3080.472","900.315","3080.472","900.315","3080.472","883.583","TopLayer","90","510Ω"
"R34","0402_R","1790.000","520.000","1790.000","520.000","1806.732","520.000","TopLayer","180","0Ω"
"R33","0402_R","2138.268","2060.000","2138.268","2060.000","2121.535","2060.000","TopLayer","360","1KΩ"
"R32","0402_R","2580.000","2080.000","2580.000","2080.000","2580.000","2096.732","TopLayer","270","1.2KΩ"
"R31","0402_R","2360.000","2295.000","2360.000","2295.000","2376.732","2295.000","TopLayer","180","100KΩ"
"R30","0402_R","2360.000","2345.000","2360.000","2345.000","2376.732","2345.000","TopLayer","180","100KΩ"
"R29","0402_R","1790.000","1299.213","1790.000","1299.213","1773.268","1299.213","TopLayer","360","120Ω"
"R28","0402_R","1790.000","1465.000","1790.000","1465.000","1806.732","1465.000","TopLayer","180","120Ω"
"R27","0402_R","1790.000","1354.475","1790.000","1354.475","1773.268","1354.475","TopLayer","360","10KΩ"
"R26","0402_R","1395.000","1315.000","1395.000","1315.000","1411.732","1315.000","TopLayer","180","120Ω"
"R25","0402_R","1271.693","1315.000","1271.693","1315.000","1254.961","1315.000","TopLayer","360","4.7KΩ"
"R24","0402_R","1395.000","1365.000","1395.000","1365.000","1411.732","1365.000","TopLayer","180","120Ω"
"R23","0402_R","1271.693","1365.000","1271.693","1365.000","1254.961","1365.000","TopLayer","360","4.7KΩ"
"R22","0402_R","2199.393","1454.961","2199.393","1454.961","2199.393","1438.228","TopLayer","90","47KΩ"
"R21","0402_R","2260.858","1454.961","2260.858","1454.961","2260.858","1438.228","TopLayer","90","47KΩ"
"R20","0402_R","908.268","2330.000","908.268","2330.000","925.000","2330.000","TopLayer","180","0Ω"
"R19","0402_R","1790.000","1085.000","1790.000","1085.000","1806.732","1085.000","TopLayer","180","47KΩ"
"R18","0402_R","1790.000","1160.000","1790.000","1160.000","1806.732","1160.000","TopLayer","180","47KΩ"
"R17","0402_R","1790.000","1202.992","1790.000","1202.992","1806.732","1202.992","TopLayer","180","47KΩ"
"R16","0402_R","408.425","940.000","408.425","940.000","391.693","940.000","TopLayer","360","2.2KΩ (2201) ±1%"
"R15","0402_R","408.425","887.992","408.425","887.992","391.693","887.992","TopLayer","360","2.2KΩ (2201) ±1%"
"R14","0402_R","408.425","836.742","408.425","836.742","391.693","836.742","TopLayer","360","2.2KΩ (2201) ±1%"
"R13","0402_R","408.425","785.492","408.425","785.492","391.693","785.492","TopLayer","360","2.2KΩ (2201) ±1%"
"R12","0402_R","408.425","734.242","408.425","734.242","391.693","734.242","TopLayer","360","2.2KΩ (2201) ±1%"
"R11","0402_R","1271.693","582.992","1271.693","582.992","1288.425","582.992","TopLayer","180","0Ω"
"R10","0402_R","408.425","682.992","408.425","682.992","391.693","682.992","TopLayer","360","2.2KΩ (2201) ±1%"
"R9","0402_R","1271.693","662.992","1271.693","662.992","1288.425","662.992","TopLayer","180","0Ω"
"R8","0402_R","408.425","631.742","408.425","631.742","391.693","631.742","TopLayer","0","2.2KΩ (2201) ±1%"
"R7","0402_R","1271.693","732.992","1271.693","732.992","1288.425","732.992","TopLayer","180","0Ω"
"R6","0402_R","408.425","580.492","408.425","580.492","391.693","580.492","TopLayer","0","2.2KΩ (2201) ±1%"
