Altium Designer Pick and Place Locations
D:\OneDrive\脑电采集系统设计\EEG\PCB\脑电采集主板_PRJ\Project Outputs for 脑电采集板\Pick Place for 脑电采集板V6.0.csv

========================================================================================================================
File Design Information:

Date:       05/10/20
Time:       17:05
Revision:   1713f2f9724d639cac54ad83894ff38dea93ab15
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"Y3","SMD-3225_4P","2285.000","1706.000","2285.000","1706.000","2241.693","1674.504","TopLayer","0","12MHZ"
"U3","SOIC-16_150mil","2149.000","1960.000","2149.000","1960.000","1974.000","1857.638","TopLayer","360","CH340G"
"C96","0402_C","2408.267","1703.268","2408.268","1703.268","2408.267","1686.536","TopLayer","90","22pF"
"C90","0402_C","2145.000","1703.268","2145.000","1703.268","2145.000","1720.000","TopLayer","270","22pF"
"C6","0402_C","2084.000","1703.268","2084.000","1703.268","2084.000","1720.000","TopLayer","270","100nF"
"C5","0402_C","1799.000","2085.732","1799.000","2085.732","1799.000","2102.465","TopLayer","270","100nF (104) 10% 16V"
"C4","0402_C","1866.000","2085.732","1866.000","2085.732","1866.000","2102.465","TopLayer","270","10uF (106) 20% 6.3V"
"Y2","SMD-5032_2P","2225.000","180.000","2225.000","180.000","2144.291","180.000","TopLayer","360","8MHz"
"Y1","SMD-3215_2P_FC_-_135","1835.787","196.811","1835.787","196.811","1786.575","196.811","TopLayer","0","32.768KHz"
"U11","ADS1299","929.472","681.220","623.252","928.858","693.252","828.858","TopLayer","0","ADS1299IPAG"
"U10","LQFP-144_20x20x05P","2300.000","795.000","2300.000","795.000","1955.512","379.646","TopLayer","0","STM32F429ZGT6"
"U9","SOT-23-5","965.811","1923.150","965.811","1923.150","1020.929","1885.748","TopLayer","0","TPS72325"
"U8","SC-70-5","1266.693","2476.512","1310.000","2450.921","1310.000","2450.921","TopLayer","180","TPS71733DCKR"
"U7","SOT-23-5","965.811","1725.000","965.811","1725.000","1020.929","1687.599","TopLayer","0","TPS73225"
"U6","SOT-23-5","673.000","2215.000","673.000","2215.000","728.118","2177.599","TopLayer","0","TPS60403"
"U5","SOP-8_EP_150mil","2480.000","2630.000","2480.000","2630.000","2582.362","2555.000","TopLayer","90","TP4056"
"U4","QFN-24_4x4x05P","1515.748","1515.748","1515.748","1515.748","1466.535","1437.008","TopLayer","0","MPU-6050"
"U2","TF_1","2419.465","797.977","2202.929","700.536","2202.929","700.536","BottomLayer","90","TF_Card"
"U1","nRF52832","481.622","2717.000","518.000","2732.000","708.000","2917.000","BottomLayer","0","nRF52832"
"S1","KEY_5.8*5.8","1355.000","2828.583","1433.740","2740.000","1433.740","2740.000","TopLayer","90","SW-PB"
"RESET","KEY_3.6*2.5","2762.000","1559.000","2762.000","1559.000","2910.996","1559.000","TopLayer","180","SW-PB"
"R49","0402_R","708.732","1220.000","708.732","1220.000","725.464","1220.000","TopLayer","180","0Ω (0R0) ±1%"
"R48","0402_R","708.732","1270.000","708.732","1270.000","692.000","1270.000","TopLayer","360","2KΩ"
"R47","0603_R","813.000","1268.000","813.000","1268.000","782.685","1268.000","TopLayer","360","390KΩ"
"R46","0603_R","346.315","1368.108","346.315","1368.108","316.000","1368.108","TopLayer","360","4.99KΩ"
"R45","0603_R","346.315","1213.775","346.315","1213.775","316.000","1213.775","TopLayer","360","4.99KΩ"
"R44","0603_R","346.315","596.443","346.315","596.443","316.000","596.443","TopLayer","360","4.99KΩ"
"R43","0603_R","346.315","1290.942","346.315","1290.942","316.000","1290.942","TopLayer","360","4.99KΩ"
"R42","0603_R","346.315","673.610","346.315","673.610","316.000","673.610","TopLayer","360","4.99KΩ"
"R41","0603_R","346.315","1059.442","346.315","1059.442","316.000","1059.442","TopLayer","0","4.99KΩ"
"R40","0603_R","346.315","442.110","346.315","442.110","316.000","442.110","TopLayer","360","4.99KΩ"
"R39","0603_R","346.315","1136.609","346.315","1136.609","316.000","1136.609","TopLayer","360","4.99KΩ"
"R38","0603_R","346.315","519.277","346.315","519.277","316.000","519.277","TopLayer","360","4.99KΩ"
"R37","0603_R","346.315","905.109","346.315","905.109","316.000","905.109","TopLayer","360","4.99KΩ"
"R36","0603_R","346.315","287.777","346.315","287.777","316.000","287.777","TopLayer","360","4.99KΩ"
"R35","0603_R","346.315","982.276","346.315","982.276","316.000","982.276","TopLayer","360","4.99KΩ"
"R34","0603_R","346.315","364.944","346.315","364.944","316.000","364.944","TopLayer","360","4.99KΩ"
"R33","0603_R","346.315","750.776","346.315","750.776","316.000","750.776","TopLayer","360","4.99KΩ"
"R32","0603_R","346.315","133.444","346.315","133.444","316.000","133.444","TopLayer","360","4.99KΩ"
"R31","0603_R","346.315","827.943","346.315","827.943","316.000","827.943","TopLayer","0","4.99KΩ"
"R30","0603_R","346.315","210.611","346.315","210.611","316.000","210.611","TopLayer","360","4.99KΩ"
