Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"1uF 50V","贴片电容","C1, C3, C5, C8, C10, C12, C21, C22","0603_C","0603 10nF (103) 10% 50V","2","8"
"100nF 50V","贴片电容","C2, C4, C6, C9, C11, C13, C26","0603_C","0603 10nF (103) 10% 50V","2","7"
"1.5nF","贴片电容","C7","0603_C","0603 10nF (103) 10% 50V","2","1"
"4.7nF 50V","贴片电容","C14, C15, C16, C17, C18, C19, C20, C23","0603_C","0603 4.7nF (472) 10% 50V","2","8"
"100uF (107) ±10% 6.3V","钽电容","C24","CASE-B_3528","3528 100uF (107) 10% 6.3V","2","1"
"10uF","贴片电容","C25","0603_C","0603 10uF (106) 10% 10V","2","1"
"10uF (106) 10% 10V","贴片电容","C27","0603_C","0603 10uF (106) 10% 10V","2","1"
"100nF (104) 10% 50V","贴片电容","C28","0603_C","0603 100nF (104) 10% 50V","2","1"
"100nF","贴片电容","C29","0603_C","0603 100nF (104) 10% 50V","2","1"
"1uF","贴片电容","C30, C31, C33, C34, C36, C37, C39, C41","0603_C","0603 1uF (105) 10% 50V","2","8"
"1nF","贴片电容","C32, C35, C43","0603_C","0603 1nF (102) 10% 50V","2","3"
"10nF","贴片电容","C38, C40, C42","0603_C","0603 10nF (103) 10% 50V","2","3"
"10pF","贴片电容","C44, C45","0603_C","0603 10pF (100) 5% 50V","2","2"
"22pF","贴片电容","C46, C47","0603_C","0603 22pF (220) 5% 50V","2","2"
"10uF  10V","贴片电容","C48, C54","0603_C","0603 10uF (106) 10% 10V","2","2"
"100nF  50V","贴片电容","C49, C50, C52, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67","0603_C","0603 100nF (104) 10% 50V","2","16"
"2.2uF 16V","贴片电容","C51","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"2.2uF (225) 10% 16V","贴片电容","C53","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"1N4148WS T4","二极管","D1","SOD-323","SOD-323 1N4148WS T4","2","1"
"MMSZ4685T1G(3.6V)","肖特基二极管","D2","SOD-123","SOD-123 B5819W  SL","2","1"
"MMSZ4683T1G(3V)","肖特基二极管","D3, D5","SOD-123","SOD-123 B5819W  SL","2","2"
"MBR0520LT1G","肖特基二极管","D4","SOD-123","SOD-123 B5819W  SL","2","1"
"绿灯 0603","发光二极管","D6, D7","0603_LED_S1","0603 绿灯","2","2"
"红灯 0805","发光二极管","D8","0805_LED_S1","0805 红灯","2","1"
"BAV70 A4","开关二极管","D9","SOT-23(SOT-23-3)","SOT-23 BAV70 A4","3","1"
"Fuse 1A","Fuse","F1","0805_R","Fuse 2","2","1"
"HC-05_CON","Header, 6-Pin","HC05","HDR1X6","Header 6","6","1"
"Header 10","Header, 10-Pin","P1","HDR1X10","Header 10","10","1"
"Header 6X2","Header, 6-Pin, Dual row","P2, P6","HDR2X6","Header 6X2","12","2"
"USB","Header, 5-Pin","P3, P5","MICRO-USB","Header 5","7","2"
"Header 2","Header, 2-Pin","P4","HDR1X2","Header 2","2","1"
"Header 5X2","Header, 5-Pin, Dual row","P7","HDR2X5","Header 5X2","10","1"
"1.5mm","Header, 10-Pin","P10","pin1.5mm","Header 10","10","1"
"SS8050 Y1","三极管","Q1","SOT-23(SOT-23-3)","SOT-23 SS8050 Y1","3","1"
"SS8550 Y2","三极管","Q2","SOT-23(SOT-23-3)","SOT-23 SS8550 Y2","3","1"
"0Ω","贴片电阻","R1, R9, R10, R12, R23","0603_R","0603 100KΩ (1003) 1%, 0603 0Ω (0R0) 1%","2","5"
"1MΩ","贴片电阻","R2, R27","0603_R","0603 100KΩ (1003) 1%, 0603 1.2MΩ (1204) 1%","2","2"
"10KΩ","贴片电阻","R3, R17","0603_R","0603 10KΩ (1002) 1%, 0603 1KΩ (1001) 1%","2","2"
"100KΩ","贴片电阻","R4","0603_R","0603 100KΩ (1003) 1%","2","1"
"4.99KΩ","贴片电阻","R5, R6, R7, R8, R11, R13, R14, R15, R16","0603_R","0603 4.99KΩ (4991) 1%","2","9"
"1KΩ (1001) ±1%","贴片电阻","R18, R19, R20","0603_R","0603 1KΩ (1001) 1%","2","3"
"10Ω","贴片电阻","R21, R22, R29","0603_R","0603 10Ω (10R0) 1%","2","3"
"510Ω","贴片电阻","R24, R25","0603_R","0603 510Ω (5100) 1%","2","2"
"1KΩ","贴片电阻","R26","0603_R","0603 1KΩ (1001) 1%","2","1"
"10K","贴片电阻","R28, R31, R32","0603_R","0603 10Ω (10R0) 1%","2","3"
"10Ω (10R0) ±1%","贴片电阻","R30","0603_R","0603 10Ω (10R0) 1%","2","1"
"SW-PB","Switch","S1","KEY_5.8*5.8","SW-PB","6","1"
"SW-PB","Switch","S2","key_4.5*4.5*3.8","SW-PB","3","1"
"SWD","Header, 4-Pin","SWD","HDR1X4","Header 4","4","1"
"ADS1299","","U1","ADS1299","ADS1299","64","1"
