Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"1uF 50V","贴片电容","C1, C3, C5, C9, C11, C13, C28, C29","0603_C","0603 10nF (103) 10% 50V","2","8"
"100nF 50V","贴片电容","C2, C4, C7, C10, C12, C14, C37, C81, C82, C85, C86, C94, C96","0603_C","0603 10nF (103) 10% 50V, 0603 100nF (104) 10% 50V","2","13"
"4.7nF 50V","贴片电容","C6, C15, C16, C17, C18, C19, C20, C22, C23, C24, C25, C26, C27, C31, C32, C35, C36","0603_C","0603 4.7nF (472) 10% 50V","2","17"
"10nF 50V","贴片电容","C8","0603_C","0603 10nF (103) 10% 50V","2","1"
"1uF (105) 10% 50V","贴片电容","C21, C30, C65, C71, C73, C75, C76","0603_C","0603 1uF (105) 10% 50V","2","7"
"100uF (107) ±10% 6.3V","钽电容","C33","CASE-B_3528","3528 100uF (107) 10% 6.3V","2","1"
"10uF (106) 10% 10V","贴片电容","C34, C62","0603_C","0603 10uF (106) 10% 10V","2","2"
"10pF","贴片电容","C38, C39","0603_C","0603 10pF (100) 5% 50V","2","2"
"22pF","贴片电容","C40, C41","0603_C","0603 22pF (220) 5% 50V","2","2"
"10uF  10V","贴片电容","C42, C48","0603_C","0603 10uF (106) 10% 10V","2","2"
"100nF  50V","贴片电容","C43, C44, C46, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61","0603_C","0603 100nF (104) 10% 50V","2","16"
"2.2uF 16V","贴片电容","C45, C91","0603_C","0603 2.2uF (225) 10% 16V","2","2"
"2.2uF (225) 10% 16V","贴片电容","C47, C77, C89","0603_C","0603 2.2uF (225) 10% 16V","2","3"
"100nF (104) 10% 50V","贴片电容","C63, C64","0603_C","0603 100nF (104) 10% 50V","2","2"
"10uF 10V","贴片电容","C66, C69, C70, C72, C74, C78, C79, C88, C90","0603_C","0603 10uF (106) 10% 10V","2","9"
"4.7uF 16V","贴片电容","C67, C68","0603_C","0603 4.7uF (475) 10% 16V","2","2"
"22uF 6.3V","贴片电容","C80, C83, C84, C87","0603_C","0603 22uF (226) 20% 6.3V","2","4"
"10nF (103) 10% 50V","贴片电容","C92","0603_C","0603 10nF (103) 10% 50V","2","1"
"22uF","贴片电容","C93, C95","0603_C","0603 22uF (226) 20% 6.3V","2","2"
"绿灯 0603","发光二极管","D1, D2","0603_LED_S1","0603 绿灯","2","2"
"红灯 0805","发光二极管","D3","0805_LED_S1","0805 红灯","2","1"
"BAV70 A4","开关二极管","D4","SOT-23(SOT-23-3)","SOT-23 BAV70 A4","3","1"
"1N4148WS T4","二极管","D5","SOD-323","SOD-323 1N4148WS T4","2","1"
"Fuse 1A","Fuse","F1","0805_R","Fuse 2","2","1"
"6.8uH","贴片电感","L1","0603_L","0603 4.7uH 10%","2","1"
"3.3uH±10%","贴片电感","L2, L3, L4, L5","0805_L","0805 3.3uH10%","2","4"
"Header 10X2","Header, 10-Pin, Dual row","P1","HDR2X10","Header 10X2","20","1"
"SWD","Header, 4-Pin","P2","HDR1X4","Header 4","4","1"
"USB","Header, 5-Pin","P3","MICRO-USB","Header 5","7","1"
"ATK_ESP8266_CON","Header, 6-Pin","P4","HDR1X6","Header 6","6","1"
"HC-05_CON","Header, 6-Pin","P5","HDR1X6","Header 6","6","1"
"POWER_CON","Header, 5-Pin, Dual row","P6","HDR2X5","Header 5X2","10","1"
"SS8050 Y1","三极管","Q1","SOT-23(SOT-23-3)","SOT-23 SS8050 Y1","3","1"
"SS8550 Y2","三极管","Q2","SOT-23(SOT-23-3)","SOT-23 SS8550 Y2","3","1"
"0Ω","贴片电阻","R1, R4, R25","0603_R","0603 100KΩ (1003) 1%, 0603 0Ω (0R0) 1%","2","3"
"4.99KΩ (4991) ±1%","贴片电阻","R2","0603_R","0603 4.99KΩ (4991) 1%","2","1"
"391KΩ","贴片电阻","R3","0603_R","0603 100KΩ (1003) 1%","2","1"
"10KΩ","贴片电阻","R5, R13, R16, R35","0603_R","0603 10KΩ (1002) 1%, 0603 1KΩ (1001) 1%","2","4"
"100KΩ","贴片电阻","R6","0603_R","0603 100KΩ (1003) 1%","2","1"
"4.99KΩ","贴片电阻","R7, R8, R9, R10, R11, R12, R14, R15, R17, R18, R19, R20, R21, R22, R23, R24","0603_R","0603 4.99KΩ (4991) 1%","2","16"
"510Ω","贴片电阻","R26, R27","0603_R","0603 510Ω (5100) 1%","2","2"
"1KΩ","贴片电阻","R28","0603_R","0603 1KΩ (1001) 1%","2","1"
"1MΩ","贴片电阻","R29","0603_R","0603 1.2MΩ (1204) 1%","2","1"
"10K","贴片电阻","R30, R33, R34","0603_R","0603 10Ω (10R0) 1%","2","3"
"10Ω (10R0) ±1%","贴片电阻","R31, R32","0603_R","0603 10Ω (10R0) 1%","2","2"
