Comment,Description,Designator,Footprint,LibRef,Pins,Quantity

"1uF 50V","贴片电容","C1, C3, C6, C8, C10, C19, C20","0402_C","0603 10nF (103) 10% 50V","2","7"
"100nF 50V","贴片电容","C2, C4, C7, C9, C11, C24","0402_C","0603 10nF (103) 10% 50V","2","6"
"1.5nF","贴片电容","C5","0402_C","0603 10nF (103) 10% 50V","2","1"
"1nF (102) 10% 50V","贴片电容","C12, C13, C14, C15, C16, C17, C18, C21","0402_C","0402 1nF (102) 10% 50V","2","8"
"100uF (107) ±10% 6.3V","钽电容","C22","CASE-B_3528","3528 100uF (107) 10% 6.3V","2","1"
"10uF","贴片电容","C23, C26, C33, C34, C37","0402_C","0603 10uF (106) 10% 10V, 0402 10uF (106) 20% 6.3V","2","5"
"100nF","贴片电容","C25, C27, C31, C32, C35, C36","0402_C","0402 100nF (104) 10% 16V","2","6"
"100nF (104) 10% 50V","贴片电容","C28","0603_C","0603 100nF (104) 10% 50V","2","1"
"100nF","贴片电容","C29","0603_C","0603 100nF (104) 10% 50V","2","1"
"4.7uF","贴片电容","C30","0603_C","0603 4.7uF (475) 10% 16V","2","1"
"1uF","贴片电容","C38, C39, C41, C42, C44, C45, C47, C49","0402_C","0603 1uF (105) 10% 50V","2","8"
"1nF","贴片电容","C40, C43, C51","0402_C","0603 1nF (102) 10% 50V","2","3"
"10nF","贴片电容","C46, C48, C50","0402_C","0603 10nF (103) 10% 50V","2","3"
"10pF","贴片电容","C52, C53","0402_C","0603 10pF (100) 5% 50V","2","2"
"22pF","贴片电容","C54, C55","0402_C","0603 22pF (220) 5% 50V","2","2"
"10uF  10V","贴片电容","C56, C60","0402_C","0603 10uF (106) 10% 10V","2","2"
"100nF  50V","贴片电容","C57, C58, C61, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74","0402_C","0603 100nF (104) 10% 50V","2","15"
"2.2uF 16V","贴片电容","C59","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"2.2uF (225) 10% 16V","贴片电容","C62","0603_C","0603 2.2uF (225) 10% 16V","2","1"
"SS210","二极管","D1, D6","SMA(DO-214AC)_S1","SMA(DO-214AC) SS210","2","2"
"红灯 0603","发光二极管","D2, D10","0603_LED_S1","0603 红灯","2","2"
"绿灯 0603","发光二极管","D3, D8, D9","0603_LED_S1","0603 绿灯","2","3"
"MMSZ4685T1G(3.6V)","肖特基二极管","D4","SOD-123","SOD-123 B5819W  SL","2","1"
"MMSZ4683T1G(3V)","肖特基二极管","D5, D7","SOD-123","SOD-123 B5819W  SL","2","2"
"Fuse 1A","Fuse","F1","0805_R","Fuse 2","2","1"
"SW-PB","Switch","KEY1, KEY2, RESET","KEY_3.6*2.5","SW-PB","2","3"
"信号采集端口","Header, 5-Pin, Dual row","P1","HDR2X5","Header 5X2","10","1"
"Header 7X2","Header, 7-Pin, Dual row","P2","HDR2X7","Header 7X2","14","1"
"蓝牙选择","Header, 3-Pin, Dual row","P3","HDR2X3","Header 3X2","6","1"
"HC-05_CON","Header, 6-Pin","P4","HDR1X6","Header 6","6","1"
"USB","Header, 5-Pin","P5","MICRO-USB","Header 5","7","1"
"Header 4X2","Header, 4-Pin, Dual row","P6","HDR2X4","Header 4X2","8","1"
"battery","Header, 2-Pin","P7","HDR1X2","Header 2","2","1"
"电源","Header, 5-Pin, Dual row","P8","HDR2X5","Header 5X2","10","1"
"SWD","Header, 4-Pin","P9","HDR1X4","Header 4","4","1"
"BSS84LT1G","MOS(场效应管)","Q1","SOT-23(SOT-23-3)","BSS84LT1G","3","1"
"0Ω","贴片电阻","R1, R7, R9, R11, R20, R34","0402_R","0402 0Ω (0R0) 1%, 0603 0Ω (0R0) 1%","2","6"
"1MΩ","贴片电阻","R2, R38","0402_R","0603 100KΩ (1003) 1%, 0603 1.2MΩ (1204) 1%","2","2"
"10KΩ","贴片电阻","R3, R27","0402_R","0603 10KΩ (1002) 1%, 0402 10KΩ (1002) 1%","2","2"
"100KΩ","贴片电阻","R4, R30, R31","0402_R","0603 100KΩ (1003) 1%, 0402 100KΩ (1003) 1%","2","3"
"2.2KΩ (2201) ±1%","贴片电阻","R5, R6, R8, R10, R12, R13, R14, R15, R16","0402_R","0402 2.2KΩ (2201) 1%","2","9"
"47KΩ","贴片电阻","R17, R18, R19, R21, R22","0402_R","0402 47KΩ (4702) 1%","2","5"
"4.7KΩ","贴片电阻","R23, R25","0402_R","0402 4.7KΩ (4701) 1%","2","2"
"120Ω","贴片电阻","R24, R26, R28, R29","0402_R","0402 120Ω (1200) 1%","2","4"
"1.2KΩ","贴片电阻","R32","0402_R","0402 1.2KΩ (1201) 1%","2","1"
"1KΩ","贴片电阻","R33, R37","0402_R","0402 1KΩ (1001) 1%, 0603 1KΩ (1001) 1%","2","2"
